ID,iManufacturer,iMPartNumber,iSerialNumber,iSimCategory,iPartType,iDescription,iGroup,iLocation,iSold
1,"Evans & Sutherland","230-132-111AA",,"Visual","PCB",,1,"Offsite",
2,"Evans & Sutherland","230-132-111AA",,"Visual","PCB",,1,"Offsite",
3,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
4,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
5,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
6,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
7,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
8,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
9,"Evans & Sutherland","230-120-112AC",,"Visual","PCB",,1,"Offsite",
10,"Evans & Sutherland","230-121-150AC",,"Visual","PCB",,1,"Offsite",
11,"Evans & Sutherland","230-121-150AC",,"Visual","PCB",,1,"Offsite",
12,"Evans & Sutherland","230-121-150AC",,"Visual","PCB",,1,"Offsite",
13,"Evans & Sutherland","230-121-150AC",,"Visual","PCB",,1,"Offsite",
14,"Evans & Sutherland","230-121-150AC",,"Visual","PCB",,1,"Offsite",
15,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
16,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
17,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
18,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
19,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
20,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
21,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
22,"Evans & Sutherland","230-140-110DA",,"Visual","PCB",,1,"Offsite",
23,"Evans & Sutherland","230-120-112AB",,"Visual","PCB",,1,"Offsite",
24,"Evans & Sutherland","230-120-112AB",,"Visual","PCB",,1,"Offsite",
25,"Evans & Sutherland","230-120-112AB",,"Visual","PCB",,1,"Offsite",
26,"Evans & Sutherland","230-113-130CF",,"Visual","PCB",,1,"Offsite",
27,"Evans & Sutherland","230-114-111AA",,"Visual","PCB",,1,"Offsite",
28,"Evans & Sutherland","230-114-111AA",,"Visual","PCB",,1,"Offsite",
29,"Evans & Sutherland","230-110-130AC",,"Visual","PCB",,1,"Offsite",
30,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
31,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
32,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
33,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
34,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
35,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
36,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
37,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
38,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
39,"Evans & Sutherland","230-116-121AA",,"Visual","PCB",,1,"Offsite",
40,"Evans & Sutherland","230-132-111AB",,"Visual","PCB",,1,"Offsite",
41,"Evans & Sutherland","230-121-150AB",,"Visual","PCB",,1,"Offsite",
42,"Evans & Sutherland","230-121-150AB",,"Visual","PCB",,1,"Offsite",
43,"Evans & Sutherland","230-121-150AB",,"Visual","PCB",,1,"Offsite",
44,"Evans & Sutherland","230-113-130CD",,"Visual","PCB",,1,"Offsite",
45,"Evans & Sutherland","230-113-130CD",,"Visual","PCB",,1,"Offsite",
46,"Evans & Sutherland","230-111-207AA",,"Visual","PCB",,1,"Offsite",
47,"Evans & Sutherland","230-111-207AA",,"Visual","PCB",,1,"Offsite",
48,"Evans & Sutherland","230040-146AD",,"Visual","Backplane Chassis",,1,"Offsite",
49,"Evans & Sutherland","230040-146AD",,"Visual","Backplane Chassis",,1,"Offsite",
50,"Evans & Sutherland","230040-146AD",,"Visual","Backplane Chassis",,1,"Offsite",
51,"Pioneer Magnetics","801966-105XA",,"Visual","Power Supply","5v 300A  208/230  50/60  Model # 250LB-2-3P",1,"Offsite",
52,"Pioneer Magnetics","801966-105XA",,"Visual","Power Supply","5v 300A  208/230  50/60  Model # 250LB-2-3P",1,"Offsite",
53,"Pioneer Magnetics","801966-105XA",,"Visual","Power Supply","5v 300A  208/230  50/60  Model # 250LB-2-3P",1,"Offsite",
54,"Evans & Sutherland",,,"Visual","Misc","Cabinet Fan Assembly",1,"Offsite",
55,"Evans & Sutherland",,,"Visual","Misc","Power Controller",1,"Offsite",
56,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Upper Memory Board",2,"Offsite",0
57,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Lower Memory Board",2,"Offsite",0
58,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Processor Board",2,"Offsite",0
59,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Memory Map Board",2,"Offsite",0
60,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Option Board",2,"Offsite",0
61,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - I/O Port Board",2,"Offsite",0
62,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - I/O Extension Power Supply",2,"Offsite",0
63,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Disk Unit w/ HDD and 8” FDD",2,"Offsite",0
64,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - CPU Power Supply",2,"Offsite",0
65,"Varia Datamachines",,,"Visual",,"Sperry Univac V77 - Memory Power Supply",2,"Offsite",0
66,"VITAL",,,"Visual",,"Vital IV Interface - Peddle",2,"Offsite",0
67,"VITAL",,,"Visual",,"Vital IV Interface - Terminator Shoe",2,"Offsite",0
68,"VITAL",,,"Visual",,"Vital IV Interface - I/O Expander",2,"Offsite",0
69,"VITAL",,,"Visual",,"Vital IV Interface - I/O Expander Paddele",2,"Offsite",0
70,"VITAL",,,"Visual",,"Vital IV Interface - S-Bus Controller",2,"Offsite",0
71,"VITAL",,,"Visual",,"Vital IV Interface - PIM #1",2,"Offsite",0
72,"VITAL",,,"Visual",,"Vital IV Interface - PIM #2",2,"Offsite",0
73,"VITAL",,,"Visual",,"Vital IV Interface - BIC #1",2,"Offsite",0
74,"VITAL",,,"Visual",,"Vital IV Interface – PMAC",2,"Offsite",0
75,"VITAL",,,"Visual",,"Vital IV Interface - DIOC",2,"Offsite",0
76,"VITAL",,,"Visual",,"Vital IV Interface - BIC #3",2,"Offsite",0
77,"VITAL",,,"Visual",,"Vital IV Interface - Matrix Multiplier",2,"Offsite",0
78,"VITAL",,,"Visual",,"Vital IV TASK - A1A1 FOV",2,"Offsite",0
79,"VITAL",,,"Visual",,"Vital IV TASK - A1A2 MM",2,"Offsite",0
80,"VITAL",,,"Visual",,"Vital IV TASK - A1A3 ACC",2,"Offsite",0
81,"VITAL",,,"Visual",,"Vital IV TASK - A1A4 IS",2,"Offsite",0
82,"VITAL",,,"Visual",,"Vital IV TASK - A1A5 PD",2,"Offsite",0
83,"VITAL",,,"Visual",,"Vital IV TASK - A1A6 Int/Def",2,"Offsite",0
84,"VITAL",,,"Visual",,"Vital IV TASK - A1A7 OB",2,"Offsite",0
